company_id,from_year,to_year,from_pattern,to_pattern
DLF,2017.0,2018,Distress Signal,Deleverager
DLF,2018.0,2019,Deleverager,Cash Accumulator
DLF,2019.0,2020,Cash Accumulator,Shareholder Returns
DLF,2022.0,2023,Shareholder Returns,Deleverager
DLF,2023.0,2024,Deleverager,Reinvestor
DMART,2017.0,2018,Reinvestor,Shareholder Returns
DMART,2018.0,2019,Shareholder Returns,Reinvestor
DMART,2020.0,2021,Reinvestor,Deleverager
EICHERMOT,2016.0,2017,Deleverager,Reinvestor
EICHERMOT,2017.0,2018,Reinvestor,Deleverager
GAIL,2013.0,2014,Reinvestor,Deleverager
GAIL,2019.0,2020,Deleverager,Reinvestor
GAIL,2020.0,2021,Reinvestor,Deleverager
GAIL,2022.0,2023,Deleverager,Reinvestor
GAIL,2023.0,2024,Reinvestor,Deleverager
GODREJCP,2013.0,2014,Reinvestor,Deleverager
GODREJCP,2016.0,2017,Deleverager,Reinvestor
GODREJCP,2017.0,2018,Reinvestor,Deleverager
GODREJCP,2018.0,2019,Deleverager,Shareholder Returns
GODREJCP,2019.0,2020,Shareholder Returns,Deleverager
GODREJCP,2023.0,2024,Deleverager,Reinvestor
GRASIM,2013.0,2014,Reinvestor,Deleverager
GRASIM,2017.0,2018,Deleverager,Distress Signal
GRASIM,2019.0,2020,Distress Signal,Deleverager
GRASIM,2022.0,2023,Deleverager,Distress Signal
HAL,2018.0,2019,Cash Burner,Distress Signal
HAL,2019.0,2020,Distress Signal,Reinvestor
HAL,2020.0,2021,Reinvestor,Deleverager
HAVELLS,2018.0,2019,Deleverager,Shareholder Returns
HAVELLS,2019.0,2020,Shareholder Returns,Deleverager
HAVELLS,2020.0,2021,Deleverager,Reinvestor
HAVELLS,2021.0,2022,Reinvestor,Deleverager
HAVELLS,2022.0,2023,Deleverager,Shareholder Returns
HAVELLS,2023.0,2024,Shareholder Returns,Deleverager
HCLTECH,2021.0,2022,Deleverager,Shareholder Returns
HCLTECH,2022.0,2023,Shareholder Returns,Deleverager
HDFCBANK,2013.0,2014,Distress Signal,Reinvestor
HDFCBANK,2014.0,2015,Reinvestor,Distress Signal
HDFCBANK,2016.0,2017,Distress Signal,Deleverager
HDFCBANK,2017.0,2018,Deleverager,Reinvestor
HDFCBANK,2018.0,2019,Reinvestor,Distress Signal
HDFCBANK,2020.0,2021,Distress Signal,Deleverager
HDFCBANK,2021.0,2022,Deleverager,Distress Signal
HDFCBANK,2022.0,2023,Distress Signal,Reinvestor
HDFCBANK,2023.0,2024,Reinvestor,Shareholder Returns
HDFCLIFE,2014.0,2015,Insufficient Data,Deleverager
HDFCLIFE,2019.0,2020,Deleverager,Reinvestor
HDFCLIFE,2021.0,2022,Reinvestor,Deleverager
HDFCLIFE,2022.0,2023,Deleverager,Reinvestor
HDFCLIFE,2023.0,2024,Reinvestor,Deleverager
HEROMOTOCO,2014.0,2015,Deleverager,Shareholder Returns
HEROMOTOCO,2015.0,2016,Shareholder Returns,Deleverager
HEROMOTOCO,2018.0,2019,Deleverager,Shareholder Returns
HEROMOTOCO,2019.0,2020,Shareholder Returns,Deleverager
HINDALCO,2014.0,2015,Reinvestor,Deleverager
HINDALCO,2017.0,2018,Deleverager,Shareholder Returns
HINDALCO,2018.0,2019,Shareholder Returns,Deleverager
HINDALCO,2019.0,2020,Deleverager,Reinvestor
HINDALCO,2020.0,2021,Reinvestor,Deleverager
HINDUNILVR,2013.0,2014,Shareholder Returns,Deleverager
HINDUNILVR,2014.0,2015,Deleverager,Shareholder Returns
HINDUNILVR,2015.0,2016,Shareholder Returns,Deleverager
HINDUNILVR,2019.0,2020,Deleverager,Shareholder Returns
HINDUNILVR,2020.0,2021,Shareholder Returns,Deleverager
ICICIBANK,2014.0,2015,Reinvestor,Distress Signal
ICICIBANK,2015.0,2016,Distress Signal,Reinvestor
ICICIBANK,2016.0,2017,Reinvestor,Deleverager
ICICIBANK,2017.0,2018,Deleverager,Reinvestor
ICICIBANK,2018.0,2019,Reinvestor,Deleverager
ICICIBANK,2019.0,2020,Deleverager,Reinvestor
ICICIBANK,2020.0,2021,Reinvestor,Deleverager
ICICIBANK,2021.0,2022,Deleverager,Reinvestor
ICICIBANK,2022.0,2023,Reinvestor,Distress Signal
ICICIBANK,2023.0,2024,Distress Signal,Reinvestor
ICICIGI,2014.0,2015,Reinvestor,Cash Burner
ICICIGI,2015.0,2016,Cash Burner,Deleverager
ICICIGI,2016.0,2017,Deleverager,Reinvestor
ICICIGI,2017.0,2018,Reinvestor,Deleverager
ICICIGI,2021.0,2022,Deleverager,Shareholder Returns
ICICIGI,2022.0,2023,Shareholder Returns,Deleverager
ICICIPRULI,2014.0,2015,Cash Burner,Deleverager
ICICIPRULI,2015.0,2016,Deleverager,Shareholder Returns
ICICIPRULI,2016.0,2017,Shareholder Returns,Deleverager
ICICIPRULI,2020.0,2021,Deleverager,Reinvestor
ICICIPRULI,2021.0,2022,Reinvestor,Deleverager
ICICIPRULI,2023.0,2024,Deleverager,Cash Burner
INDIGO,2014.0,2015,Reinvestor,Deleverager
INDIGO,2017.0,2018,Deleverager,Reinvestor
INDIGO,2018.0,2019,Reinvestor,Deleverager
INDIGO,2020.0,2021,Deleverager,Cash Burner
INDIGO,2021.0,2022,Cash Burner,Shareholder Returns
INDIGO,2022.0,2023,Shareholder Returns,Deleverager
INDUSINDBK,2016.0,2017,Distress Signal,Deleverager
INDUSINDBK,2017.0,2018,Deleverager,Distress Signal
INDUSINDBK,2020.0,2021,Distress Signal,Deleverager
INDUSINDBK,2022.0,2023,Deleverager,Distress Signal
INDUSINDBK,2023.0,2024,Distress Signal,Cash Burner
INFY,2014.0,2015,Deleverager,Shareholder Returns
INFY,2015.0,2016,Shareholder Returns,Deleverager
INFY,2017.0,2018,Deleverager,Shareholder Returns
INFY,2018.0,2019,Shareholder Returns,Deleverager
IOC,2013.0,2014,Reinvestor,Deleverager
IOC,2018.0,2019,Deleverager,Reinvestor
IOC,2020.0,2021,Reinvestor,Deleverager
IRCTC,2015.0,2016,Deleverager,Shareholder Returns
IRCTC,2018.0,2019,Shareholder Returns,Deleverager
IRCTC,2019.0,2020,Deleverager,Shareholder Returns
IRCTC,2020.0,2021,Shareholder Returns,Deleverager
IRFC,2023.0,2024,Distress Signal,Deleverager
ITC,2020.0,2021,Deleverager,Shareholder Returns
ITC,2021.0,2022,Shareholder Returns,Deleverager
ITC,2023.0,2024,Deleverager,Shareholder Returns
JINDALSTEL,2015.0,2016,Reinvestor,Deleverager
JINDALSTEL,2023.0,2024,Deleverager,Reinvestor
JIOFIN,2023.0,2024,Deleverager,Cash Burner
JSWENERGY,2019.0,2020,Deleverager,Shareholder Returns
JSWENERGY,2020.0,2021,Shareholder Returns,Deleverager
JSWENERGY,2022.0,2023,Deleverager,Reinvestor
